KNYR,HY03,103,103,103,103,59,102,102,102,102,102,102,103,103,103,103,59,58,104,59,59,60,102,102,102,102,102,102,103,103,104,104,104,104,103,103,103,103,102,102,102,101,101,102,102,103,103,103,103,Hydro
KNYR,HY04,102,101,101,102,61,102,102,102,101,101,101,102,102,102,101,-1,-1,101,60,60,61,101,101,101,101,100,101,101,102,101,101,101,101,102,101,101,101,102,102,102,102,101,101,101,101,101,101,101,Hydro
LPIA,HY01,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Hydro
LPIA,HY02,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Hydro
MNOR,HY01,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Hydro
PGAU,HY01,21,21,21,21,21,21,21,21,22,21,22,22,22,21,21,21,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,21,21,21,21,21,21,21,21,22,Hydro
PGAU,HY02,21,21,21,21,21,22,22,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,21,21,22,21,22,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,22,Hydro
SIHY,HY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,30,30,30,30,30,0,Hydro
SIHY,HY02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,30,30,30,30,31,0,Hydro
SIHY,HY03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,30,30,30,30,30,30,Hydro
SYPS,HY01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,25,17,17,17,17,17,17,Hydro
SYPS,HY03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,25,25,25,17,17,17,17,17,0,Hydro
SYPS,HY04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,25,25,25,17,17,17,17,17,0,Hydro
TMGR,HY01,-1,-1,-1,-1,0,83,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,83,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,82,82,82,82,82,82,82,82,82,Hydro
TMGR,HY02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,87,87,87,87,87,87,87,87,Hydro
TMGR,HY04,40,41,40,41,42,59,83,84,38,41,84,71,84,40,39,40,40,43,41,41,51,43,40,41,39,39,82,69,41,70,40,41,40,84,43,82,38,84,84,82,82,41,42,70,38,82,44,82,Hydro
